"STATION","NAME","DATE","AWND","PRCP","SNOW","TMAX","TMIN","TOBS"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2019-12-01",,,"0.0","18.9","1.7","1.7"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2019-12-02",,"0.0","0.0","8.9","-2.8","-2.8"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2019-12-03",,"0.0","0.0","13.9","-2.8","-1.1"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2019-12-04",,"0.0","0.0","18.9","-1.1","1.7"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2019-12-05",,"0.0","0.0","18.9","1.7","8.3"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2019-12-06",,"0.3","0.0","18.9","8.3","11.7"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2019-12-07",,"14.5","0.0","18.9","6.1","8.9"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2019-12-08",,"0.0","0.0","18.9","8.9","15.0"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2019-12-09",,"0.0","0.0","21.7","12.8","12.8"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2019-12-10",,"6.4","0.0","12.8","0.0","0.0"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2019-12-11",,"24.6","0.0","11.7","-2.8","-1.7"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2019-12-12",,"0.0","0.0","8.9","-1.7","7.2"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2019-12-13",,"0.0","0.0","11.1","5.6","6.7"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2019-12-14",,"0.5","0.0","15.0","6.7","11.7"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2019-12-15",,"0.0","0.0","22.2","11.7","18.3"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2019-12-16",,"14.0","0.0","25.0","4.4","4.4"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2019-12-17",,"0.0","0.0","4.4","-3.3","-2.8"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2019-12-18",,"0.0","0.0","10.0","-4.4","-3.9"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2019-12-19",,"0.0","0.0","12.2","-3.9","9.4"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2019-12-20",,"0.0","0.0","14.4","7.2","8.9"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2019-12-21",,"34.0","0.0","10.0","7.8","10.0"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2019-12-22",,"10.4","0.0","13.3","7.8","12.2"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2019-12-23",,"0.5","0.0","13.9","6.7","7.8"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2019-12-24",,"0.0","0.0","23.3","5.6","15.6"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2019-12-25",,"0.0","0.0","22.2","12.2","19.4"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2019-12-26",,"0.5","0.0","20.0","13.3","18.3"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2019-12-27",,"2.5","0.0","19.4","15.0","16.1"
